binary	address	name	code_origin	module_candidate	candidate_confidence	assignment_basis	direct_callers	direct_callees	follow_up_module	review_status
Z_DAT	0x25BBA	sub_25BBA	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x212C0	0x20C32,0x22090,0x2558B,0x25BBA,0x29D2D,0x2C319,0x2CEBF,0x3CC97,0x3CD17,0x3D6D1,0x3D832,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x25D0E	sub_25D0E	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x212C0	0x20C32,0x24C8D,0x2558B,0x25D0E,0x25F87,0x269AB,0x29D2D,0x2CEBF,0x3CF19,0x3D6D1,0x3D832,0x3DD57,0x3E25B,0x3ED1E,0x3EE5F,0x3EF4A	framework_assignment	pending_assignment
Z_DAT	0x25F87	sub_25F87	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x25D0E	0x25F87,0x26208,0x265AB,0x2CEBF,0x3D6D1,0x3D832,0x3ED1E,0x3EF4A	framework_assignment	pending_assignment
Z_DAT	0x26208	sub_26208	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x20D35,0x20FAF,0x25F87	0x20C32,0x24A02,0x2558B,0x25AB7,0x26208,0x3CC97,0x3CD17,0x3CF45,0x3D6D1,0x3D6E0,0x3DA40,0x3DABF,0x3DAE3,0x3DB07,0x3DB2B,0x3ED1E,0x3EF96,0x3EFB9	framework_assignment	pending_assignment
Z_DAT	0x265AB	sub_265AB	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x25F87	0x20C32,0x25AB7,0x265AB,0x3CF45,0x3D6E0,0x3DA40,0x3DABF,0x3DAE3,0x3DB07,0x3DB2B,0x3ED1E,0x3EF96,0x3EFB9	framework_assignment	pending_assignment
Z_DAT	0x269AB	sub_269AB	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x212C0,0x21496,0x21AC0,0x22090,0x25D0E	0x269AB,0x2CEBF,0x3D832,0x3ED1E,0x3EF4A	framework_assignment	pending_assignment
Z_DAT	0x26A92	sub_26A92	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x23C98,0x23F28	0x26A92,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x26B5E	sub_26B5E	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x20FAF	0x212C0,0x2399E,0x24CE8,0x24F8C,0x2558B,0x25AB7,0x26B5E,0x2711A,0x29391,0x295D0,0x296E6,0x29819,0x299A1,0x29B3C,0x29C36,0x29D2D,0x2B3B4,0x2C319,0x3CBE3,0x3CC97,0x3CD17,0x3D6D1,0x3D6E0,0x3D922,0x3E1B2,0x3ED1E,0x3EE90,0x3EF4A	framework_assignment	pending_assignment
Z_DAT	0x2711A	sub_2711A	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x26B5E	0x20C32,0x2711A,0x27A26,0x3D612,0x3D643,0x3D6D1,0x3D832,0x3D8D8,0x3ED1E,0x3EEC7,0x3EF4A	framework_assignment	pending_assignment
Z_DAT	0x27A26	sub_27A26	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x2711A	0x20C32,0x27A26,0x2841A,0x287CA,0x28975,0x3CF45,0x3D6D1,0x3D832,0x3D8D8,0x3DB83,0x3ED1E,0x3EE5F,0x3EF4A	framework_assignment	pending_assignment
Z_DAT	0x2841A	sub_2841A	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x27A26	0x2841A,0x3D6D1,0x3D832,0x3D8D8,0x3ED1E,0x3EF4A	framework_assignment	pending_assignment
Z_DAT	0x287CA	sub_287CA	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x27A26	0x287CA,0x3D6D1,0x3D832,0x3D8D8,0x3ED1E,0x3EF4A	framework_assignment	pending_assignment
Z_DAT	0x28975	sub_28975	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x27A26	0x2841A,0x28975,0x3D832,0x3D8D8,0x3ED1E,0x3EF4A	framework_assignment	pending_assignment
Z_DAT	0x28E40	sub_28E40	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x25911	0x212C0,0x2399E,0x28E40,0x29391,0x295D0,0x296E6,0x29819,0x299A1,0x29B3C,0x29C36,0x29D2D,0x2B3B4,0x2C0BB,0x3CBE3,0x3CC97,0x3CD17,0x3D6D1,0x3D6E0,0x3D922,0x3E1B2,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x29391	sub_29391	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x26B5E,0x28E40	0x20C32,0x29391,0x29537,0x3CF45,0x3DABF,0x3DB07,0x3DB2B,0x3ED1E,0x3EF96,0x3EFB9	framework_assignment	pending_assignment
Z_DAT	0x294AD	sub_294AD	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x2E337,0x2F721	0x20C32,0x29391,0x294AD,0x3CF45,0x3DB07,0x3ED1E,0x3EF96,0x3EFB9	framework_assignment	pending_assignment
Z_DAT	0x29537	sub_29537	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x2E337,0x2F721	0x20C32,0x29537,0x3CF45,0x3DA66,0x3DAE3,0x3DB07,0x3DB2B,0x3ED1E,0x3EF96	framework_assignment	pending_assignment
Z_DAT	0x295D0	sub_295D0	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x26B5E,0x28E40	0x20C32,0x29537,0x295D0,0x3CF45,0x3DAE3,0x3DB07,0x3DB2B,0x3ED1E,0x3EF96,0x3EFB9	framework_assignment	pending_assignment
Z_DAT	0x296E6	sub_296E6	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x26B5E,0x28E40	0x296E6,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x29819	sub_29819	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x26B5E,0x28E40,0x2F171	0x29819,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x299A1	sub_299A1	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x26B5E,0x28E40,0x2F171	0x299A1,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x29B3C	sub_29B3C	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x26B5E,0x28E40	0x29B3C,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x29C36	sub_29C36	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x26B5E,0x28E40	0x29C36,0x29D2D,0x2C319,0x3D6D1,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x29D2D	sub_29D2D	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x212C0,0x21496,0x21AC0,0x22090,0x22A59,0x25BBA,0x25D0E,0x26B5E,0x28E40,0x29C36,0x2A186,0x2A86C,0x2B308,0x2B3B4,0x2B483,0x2C0BB,0x2CC21,0x2D653,0x31EB9	0x20B22,0x29D2D,0x3D612,0x3D643,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x2A0D9	sub_2A0D9	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x212C0	0x2A10F,0x2A186,0x2A86C,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x2A10F	sub_2A10F	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x2A0D9,0x3A29C	0x2A10F,0x3ED1E,0x3EE90	framework_assignment	pending_assignment
Z_DAT	0x2A186	sub_2A186	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x2A0D9,0x2A86C,0x3A29C	0x2558B,0x29D2D,0x2A186,0x2A74C,0x2A7E8,0x2CEBF,0x2D501,0x3AA85,0x3D643,0x3D6D1,0x3D832,0x3ED1E,0x3EF4A,0x3EF7D	framework_assignment	pending_assignment
Z_DAT	0x2A74C	sub_2A74C	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x2A186	0x3D8D8,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x2A7E8	sub_2A7E8	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x2A186	0x2A74C,0x3D8D8,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x2A86C	sub_2A86C	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x2A0D9,0x3A29C	0x20C32,0x22090,0x2558B,0x29D2D,0x2A186,0x2A86C,0x2B227,0x2B288,0x2B483,0x2BD8B,0x2CEBF,0x3AA85,0x3D6D1,0x3D832,0x3ED1E,0x3EF4A	framework_assignment	pending_assignment
Z_DAT	0x2B227	sub_2B227	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x2A86C,0x2F39C,0x3598C,0x3A30B,0x3C2AC	0x2B227,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x2B288	sub_2B288	game_logic	scene	high	machine_code_direction_switch_and_unique_item_menu_caller	0x2A86C	0x2B288,0x2B308,0x3ED1E	scene_event	manual_reviewed
Z_DAT	0x2B308	sub_2B308	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x2B288	0x29D2D,0x2B308,0x2C319,0x3D6D1,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x2B3B4	sub_2B3B4	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x26B5E,0x28E40	0x29D2D,0x2B3B4,0x2C319,0x3D6D1,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x2B483	sub_2B483	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x2A86C,0x3598C	0x2558B,0x29D2D,0x2B483,0x2CEBF,0x3AA85,0x3D612,0x3D6D1,0x3D832,0x3ED1E,0x3EEC7,0x3EF4A,0x3F50B	framework_assignment	pending_assignment
Z_DAT	0x2BD8B	sub_2BD8B	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x2A86C	0x2BD8B,0x3ED1E,0x3F50B	framework_assignment	pending_assignment
Z_DAT	0x2C0BB	sub_2C0BB	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x28E40	0x20C32,0x29D2D,0x2CEBF,0x3D6D1,0x3D832,0x3ED1E,0x3EF4A,0x3EF7D	framework_assignment	pending_assignment
