binary	address	end	size	name	instruction_count	basic_blocks	direct_callers	direct_callees	code_origin
Z_DAT	0x24CE8	0x24D43	91	sub_24CE8	23	1	0x24278,0x24A02,0x26B5E	0x24D43,0x24DB8,0x24E2D,0x24EA2,0x24F17,0x3ED1E	game_or_library_unclassified
Z_DAT	0x24D43	0x24DB8	117	sub_24D43	39	3	0x24CE8	0x24D43,0x3DABF,0x3DB07,0x3ED1E	game_or_library_unclassified
Z_DAT	0x24DB8	0x24E2D	117	sub_24DB8	39	3	0x24CE8	0x24DB8,0x3DABF,0x3DB07,0x3ED1E	game_or_library_unclassified
Z_DAT	0x24E2D	0x24EA2	117	sub_24E2D	39	3	0x24CE8	0x24E2D,0x3DABF,0x3DB07,0x3ED1E	game_or_library_unclassified
Z_DAT	0x24EA2	0x24F17	117	sub_24EA2	39	3	0x24CE8	0x24EA2,0x3DABF,0x3DB07,0x3ED1E	game_or_library_unclassified
Z_DAT	0x24F17	0x24F8C	117	sub_24F17	39	3	0x24CE8	0x24F17,0x3DABF,0x3DB07,0x3ED1E	game_or_library_unclassified
Z_DAT	0x24F8C	0x2558B	1535	sub_24F8C	344	73	0x23C98,0x24A02,0x26B5E	0x20C32,0x24F8C,0x3ED1E,0x3EE90,0x3EF96	game_or_library_unclassified
Z_DAT	0x2558B	0x258FE	883	sub_2558B	251	42	0x20D35,0x212C0,0x21496,0x21AC0,0x22090,0x22A59,0x24A02,0x25911,0x25BBA,0x25D0E,0x26208,0x26B5E,0x2A186,0x2A86C,0x2B483	0x20B22,0x2558B,0x3D612,0x3D643,0x3D88A,0x3ED1E	game_or_library_unclassified
Z_DAT	0x25911	0x25AB7	422	sub_25911	104	34	0x23C98,0x23F28	0x2558B,0x25911,0x28E40,0x3CC97,0x3CD17,0x3D6D1,0x3ED1E	game_or_library_unclassified
Z_DAT	0x25AB7	0x25BBA	259	sub_25AB7	85	4	0x26B5E	0x25AB7,0x3DA40,0x3DA66,0x3DABF,0x3DAE3,0x3DB07,0x3DB2B,0x3ED1E	game_or_library_unclassified
Z_DAT	0x25BBA	0x25D0E	340	sub_25BBA	93	18	0x212C0	0x20C32,0x22090,0x2558B,0x25BBA,0x29D2D,0x2C319,0x2CEBF,0x3CC97,0x3CD17,0x3D6D1,0x3D832,0x3ED1E	game_or_library_unclassified
Z_DAT	0x25D0E	0x25F87	633	sub_25D0E	175	32	0x212C0	0x20C32,0x24C8D,0x2558B,0x25D0E,0x25F87,0x269AB,0x29D2D,0x2CEBF,0x3CF19,0x3D6D1,0x3D832,0x3DD57,0x3E25B,0x3ED1E,0x3EE5F,0x3EF4A	game_or_library_unclassified
Z_DAT	0x25F87	0x26208	641	sub_25F87	182	29	0x25D0E	0x25F87,0x26208,0x265AB,0x2CEBF,0x3D6D1,0x3D832,0x3ED1E,0x3EF4A	game_or_library_unclassified
Z_DAT	0x26208	0x265AB	931	sub_26208	248	35	0x20D35,0x20FAF,0x25F87	0x20C32,0x24A02,0x2558B,0x25AB7,0x26208,0x3CC97,0x3CD17,0x3CF45,0x3D6D1,0x3D6E0,0x3DA40,0x3DABF,0x3DAE3,0x3DB07,0x3DB2B,0x3ED1E,0x3EF96,0x3EFB9	game_or_library_unclassified
Z_DAT	0x265AB	0x269AB	1024	sub_265AB	263	39	0x25F87	0x20C32,0x25AB7,0x265AB,0x3CF45,0x3D6E0,0x3DA40,0x3DABF,0x3DAE3,0x3DB07,0x3DB2B,0x3ED1E,0x3EF96,0x3EFB9	game_or_library_unclassified
Z_DAT	0x269AB	0x26A92	231	sub_269AB	70	8	0x212C0,0x21496,0x21AC0,0x22090,0x25D0E	0x269AB,0x2CEBF,0x3D832,0x3ED1E,0x3EF4A	game_or_library_unclassified
Z_DAT	0x26A92	0x26B5E	204	sub_26A92	37	15	0x23C98,0x23F28	0x26A92,0x3ED1E	game_or_library_unclassified
Z_DAT	0x26B5E	0x2711A	1468	sub_26B5E	294	60	0x20FAF	0x212C0,0x2399E,0x24CE8,0x24F8C,0x2558B,0x25AB7,0x26B5E,0x2711A,0x29391,0x295D0,0x296E6,0x29819,0x299A1,0x29B3C,0x29C36,0x29D2D,0x2B3B4,0x2C319,0x3CBE3,0x3CC97,0x3CD17,0x3D6D1,0x3D6E0,0x3D922,0x3E1B2,0x3ED1E,0x3EE90,0x3EF4A	game_or_library_unclassified
Z_DAT	0x2711A	0x27A26	2316	sub_2711A	556	59	0x26B5E	0x20C32,0x2711A,0x27A26,0x3D612,0x3D643,0x3D6D1,0x3D832,0x3D8D8,0x3ED1E,0x3EEC7,0x3EF4A	game_or_library_unclassified
Z_DAT	0x27A26	0x2841A	2548	sub_27A26	551	121	0x2711A	0x20C32,0x27A26,0x2841A,0x287CA,0x28975,0x3CF45,0x3D6D1,0x3D832,0x3D8D8,0x3DB83,0x3ED1E,0x3EE5F,0x3EF4A	game_or_library_unclassified
Z_DAT	0x2841A	0x287CA	944	sub_2841A	199	26	0x27A26	0x2841A,0x3D6D1,0x3D832,0x3D8D8,0x3ED1E,0x3EF4A	game_or_library_unclassified
Z_DAT	0x287CA	0x28975	427	sub_287CA	109	15	0x27A26	0x287CA,0x3D6D1,0x3D832,0x3D8D8,0x3ED1E,0x3EF4A	game_or_library_unclassified
